corridor,unique_participants,for_users,mixed_users,against_users,markers,total_likes,cat1,cat2,cat3,cat4
Saint-Denis,173,168,1,4,64,459,34,9,20,1
Avenue du Parc,156,144,3,9,112,479,8,9,50,45
Saint-Laurent (boul.),149,142,0,7,102,311,1,12,85,4
De Maisonneuve,146,141,2,3,70,395,12,21,34,3
Rachel,142,140,0,2,52,323,5,34,12,1
Henri-Bourassa,121,100,2,19,174,649,15,10,41,108
Christophe-Colomb,111,107,0,4,29,189,14,4,7,4
Saint-Urbain,107,104,0,3,68,273,8,10,46,4
Sherbrooke,105,101,2,2,63,223,0,7,55,1
Berri,101,100,0,1,26,218,6,9,10,1
Rene-Levesque,83,79,0,4,39,152,2,5,29,3
Peel,81,81,0,0,30,229,6,0,24,0
De la Commune,61,61,0,0,13,115,1,1,11,0
Notre-Dame,56,54,0,2,26,76,1,12,12,1
Verdun,56,54,0,2,23,100,5,4,13,1
Papineau,52,52,0,0,15,53,2,4,9,0
Jarry,47,41,5,1,37,150,0,6,30,1
Viau,41,41,0,0,11,55,0,5,6,0
Wellington,33,33,0,0,12,66,1,1,10,0
Lasalle,31,29,0,2,12,54,0,1,10,1
Cote-des-Neiges,27,27,0,0,9,32,0,0,9,0
De Lorimier,20,19,0,1,8,15,1,2,4,1
Pie-IX,13,13,0,0,5,10,1,0,4,0
Cote-Sainte-Catherine,7,7,0,0,3,8,0,1,2,0
